"id","label","language","script","scientist","scientist_year"
65000028,"MAQI-BRI.....CELI ALACA...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000029,"ANAVLAMATTIAS MUCCOI [..]OELURI AVI AKERAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000030,"MAQI-ERCIAS MAQI VALAMNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000031,"VEDACUNA [MAQI] TOBIRA MUCOI SOGINI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000032,"MAQILASPOG B TTMACDE","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000033,"DOVETI MAQI LOCARENAS CELI MAQI-CULIDOVI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000034,"VEQOANAI MAQI EQOD[..","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000035,"QREGAS MU[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000036,"SECIDARI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000037,"LITUBIRI MAQI QECIA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000038,"LACAVAGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000039,"VAITEVIA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000040,"ASSICONA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000041,"MINNACCANNI MAQI AILLUATTAN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000042,"CT[A]N ... QLOG","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000043,"ANM VEDLLOIGGOI MACI SEDDOINI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000044,"LADDIGNI MAQQI MUCCOI AN...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000045,"LAIDANN MAQI MACORBO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
